hhid|Regular_Carbonated|Juice|Baking_Supplies|Spices|Bottled_Water|Bath_Tissue|Baking
1|1|1|1|1|1|1|1
10|0|0|1|0|0|1|0
100000011|1|1|0|1|0|0|0
100000012|1|1|1|1|1|1|1
100000034|1|1|0|1|1|1|0
100000035|1|0|0|0|0|0|0
100000041|1|1|1|1|1|1|1
100000045|1|1|1|1|1|1|1
100000049|1|1|1|1|1|1|1
10000005|1|1|1|1|1|1|1
100000054|0|0|1|1|0|0|0
100000058|0|0|0|1|0|0|0
100000061|1|1|1|1|1|1|1
100000067|0|0|0|1|0|0|0
100000089|1|0|0|0|0|0|0
100000124|1|0|1|0|1|0|1
100000136|1|1|1|1|1|1|0
100000138|0|0|1|1|0|0|1
100000140|1|1|1|1|1|1|1
100000142|1|1|1|1|1|1|1
100000146|1|1|1|1|1|1|1
100000149|1|1|1|1|1|1|1
100000155|0|0|1|0|1|1|1
100000175|1|0|1|0|1|1|1
100000177|1|1|1|1|1|1|1
100000181|0|0|1|1|0|0|0
100000195|1|1|1|1|1|1|1
100000199|1|1|0|0|0|0|0
100000201|0|0|1|1|1|1|1
100000202|1|1|0|1|1|0|0
100000210|0|0|0|1|0|0|0
100000211|1|1|0|0|0|0|0
100000218|0|0|1|0|0|0|1
100000234|1|1|0|0|0|0|0
100000236|0|0|1|1|0|0|0
100000238|1|1|1|1|1|1|1
100000242|0|0|1|1|0|0|1
100000243|1|1|1|1|1|1|1
100000259|1|0|0|0|1|0|0
100000264|0|0|1|1|1|0|1
100000275|1|1|1|1|0|1|1
100000284|0|0|0|1|0|0|0
100000289|1|1|0|1|1|1|0
100000294|1|1|0|0|1|0|0
100000298|0|0|1|0|0|0|1
100000307|0|1|0|1|1|0|0
100000309|0|0|1|0|0|0|1
100000332|0|0|1|1|0|0|1
100000333|0|0|1|1|0|0|0
100000346|1|0|1|0|0|1|1
100000347|1|1|1|1|1|1|1
100000353|0|0|1|0|0|1|1
100000367|1|1|0|0|1|0|0
100000379|1|1|1|1|1|1|1
100000381|1|1|1|0|1|1|1
100000382|0|0|1|0|0|0|1
100000389|1|1|1|1|0|0|1
100000419|1|1|1|1|1|1|1
100000420|1|1|1|1|1|1|1
100000430|1|0|0|0|0|0|0
100000434|1|1|1|1|1|1|1
100000440|1|0|0|0|1|0|0
100000466|1|1|1|1|1|1|1
100000473|1|1|1|1|1|1|1
100000487|0|0|1|1|0|0|1
100000493|1|1|1|1|1|1|1
100000505|1|1|1|1|1|0|0
100000510|1|1|1|1|0|1|1
100000513|0|0|1|0|0|0|0
100000515|1|1|1|1|1|1|1
100000523|1|1|1|1|1|1|1
100000524|0|0|1|0|0|0|1
100000532|0|0|1|0|0|0|0
100000548|1|1|1|1|1|1|1
100000549|0|0|0|0|0|1|0
100000570|1|1|0|0|0|0|0
100000577|0|0|1|1|1|1|1
100000579|1|1|1|1|1|1|1
100000581|0|1|1|0|1|0|0
100000582|1|1|1|1|1|1|1
100000594|0|0|1|0|0|0|0
100000608|1|1|1|1|1|1|1
100000616|1|1|1|1|1|1|1
100000621|1|0|0|0|0|0|0
100000622|1|1|1|1|1|1|0
100000627|1|1|1|1|1|1|1
100000645|0|0|1|1|1|0|1
100000646|1|1|1|1|1|1|0
100000648|1|0|0|1|0|0|0
100000650|1|0|1|0|1|0|1
100000651|1|0|0|1|0|0|0
100000653|0|1|0|0|0|1|0
100000654|1|1|1|1|1|1|1
100000667|1|1|1|1|1|1|1
100000668|0|1|1|1|0|1|1
100000669|1|1|1|1|1|1|1
100000679|0|0|0|0|0|1|0
100000681|0|1|0|1|0|0|0
100000709|1|1|1|1|1|1|1
100000726|1|0|1|1|1|1|1
100000746|1|1|1|1|1|1|1
100000761|0|0|1|1|0|0|0
100000769|1|1|1|1|1|1|1
100000770|0|0|0|1|0|0|0
100000790|1|1|0|1|1|1|0
100000794|1|0|0|0|0|1|0
1000008|0|1|1|1|1|1|1
100000801|1|1|1|1|1|1|0
100000805|0|0|0|1|0|0|0
100000818|1|0|0|0|0|0|0
10000082|0|0|1|0|0|0|1
100000821|1|1|1|1|1|1|1
100000829|1|1|1|1|1|1|1
100000830|1|1|1|1|1|1|1
100000834|1|1|1|1|1|1|1
100000836|1|1|1|1|1|1|1
100000838|0|0|0|0|0|1|0
100000845|1|1|1|1|1|1|1
100000849|1|1|0|1|1|1|0
100000852|1|0|0|1|0|0|0
100000856|1|1|1|1|1|1|1
100000857|0|0|1|1|0|0|1
100000878|1|1|1|1|1|1|1
100000884|1|0|1|1|1|0|1
100000887|0|0|0|0|0|1|0
100000892|1|1|0|0|0|0|0
1000009|0|0|1|0|0|0|1
100000902|1|0|0|0|0|0|0
100000904|1|1|1|1|1|1|1
100000906|1|1|0|1|1|1|0
100000932|1|1|1|1|1|1|1
100000935|1|1|0|1|1|0|0
100000937|1|0|0|0|0|1|0
100000962|1|1|1|1|1|1|1
100000979|1|1|1|1|1|1|1
100000985|0|0|1|1|1|0|1
100000989|1|1|1|1|1|1|1
100000991|1|0|0|0|0|0|0
100001001|0|0|1|0|0|0|1
100001005|1|1|1|1|1|1|1
